REAL,PRED_LR,PRED_RF,PRED_XGB
739.25,739.2500000000023,739.2475,738.8059
697.0,696.9999999999957,697.0,695.636
1033.0,1033.0000000000002,1033.7372250000008,1034.2338
1107.0,1106.9999999999968,1106.605625,1110.2031
813.0,812.9999999999957,813.0,812.636
887.125,887.1249999999977,887.198125,885.18616
818.125,818.1250000000043,818.125,818.4449
957.25,957.2500000000127,957.2325,958.7194
1228.625,1228.6249999999986,1231.966875,1235.4841
873.875,873.8749999999984,873.898125,872.3813
686.125,686.1250000000036,683.888125,684.6939
649.125,649.1250000000024,649.125,650.1513
895.75,895.7499999999905,895.979375,896.7072
510.25,510.2499999999977,510.238125,511.20374
743.0,742.9999999999957,742.970625,743.1221
661.125,661.1250000000034,661.46625,661.1903
1070.5,1070.5000000000032,1070.5,1071.2556
650.25,650.2499999999957,650.26125,651.1612
977.875,977.8749999999993,977.88625,976.6369
843.75,843.7499999999982,843.765,843.40814
457.875,457.8750000000024,457.875,460.99527
487.375,487.3749999999977,487.098125,486.44107
599.25,599.2499999999955,600.184375,595.0731
923.75,923.7499999999945,924.883125,924.1556
388.0,387.9999999999967,388.34625,387.97165
626.875,626.8749999999977,626.875,626.1927
1133.125,1133.1249999999968,1132.940625,1133.0863
473.875,473.8750000000048,473.61,471.29868
669.125,669.1249999999943,669.125,668.72864
839.25,839.2500000000095,838.995625,840.15814
717.125,717.1249999999986,716.9325,717.44543
712.5,712.5000000000023,712.5,713.7647
678.25,678.2499999999993,678.25,679.0777
897.125,897.1249999999964,897.15,898.5402
1108.5,1108.499999999999,1108.501875,1110.0743
691.0,690.9999999999957,691.095625,691.772
900.625,900.6250000000132,900.645625,900.1245
640.375,640.3749999999958,640.375,638.9508
772.75,772.7499999999982,772.604375,772.0201
712.5,712.500000000007,712.65875,712.1657
927.75,927.7500000000125,927.741875,929.6727
856.125,856.1250000000041,856.14375,855.20966
430.25,430.2499999999943,430.4025,429.34262
837.25,837.2499999999955,837.26875,837.41016
960.25,960.2499999999973,960.5625,958.2775
793.0,792.9999999999991,793.0,793.1638
978.375,978.3750000000041,978.835,980.607
721.625,721.6250000000039,721.318125,722.5021
446.25,446.25000000000364,446.515625,446.26175
1084.0,1083.9999999999955,1083.98875,1086.773
1100.5,1100.5000000000123,1100.405625,1099.4929
691.375,691.3749999999989,691.375,690.1837
506.875,506.8749999999957,506.875,508.23816
1042.75,1042.7499999999968,1042.734375,1042.8098
254.5,254.5000000000025,254.489375,248.32901
122.0,121.99999999999585,121.516875,160.97755
873.875,873.8750000000134,873.783125,873.6822
942.0,942.0000000000132,941.996875,943.19336
789.375,789.3749999999991,789.375625,789.06006
392.75,392.7499999999951,392.67875,393.24677
786.25,786.2499999999943,786.51,787.0843
480.375,480.3750000000098,480.679375,482.8078
631.625,631.6249999999957,631.624375,631.2559
1008.25,1008.2499999999966,1008.25625,1007.8211
397.0,397.0000000000025,397.03,394.87198
544.875,544.8750000000036,544.84375,541.3196
902.625,902.6250000000125,902.625,904.572
501.25,501.249999999995,501.25125,503.55008
746.75,746.7499999999986,747.09,746.8696
670.25,670.2499999999934,670.896875,671.6444
943.75,943.75000000001,943.75,942.60364
323.125,323.1249999999932,323.324375,321.44525
561.25,561.2500000000048,562.13125,562.7406
994.75,994.75000000001,995.541875,994.5947
559.5,559.4999999999943,559.618125,560.9746
775.875,775.8749999999957,775.875,773.4374
864.375,864.3749999999893,864.640625,861.4822
675.25,675.25,674.907495,676.50256
1088.5,1088.5000000000039,1088.690625,1087.6038
725.25,725.2499999999932,724.826875,725.4531
714.375,714.3750000000225,716.10625,714.94745
754.75,754.7500000000086,755.2475,753.731
779.125,779.1250000000043,779.16875,779.5343
560.375,560.3749999999958,560.3675,561.90375
608.0,608.0000000000064,607.9675,608.60547
917.25,917.2499999999968,917.256875,916.4986
660.125,660.1249999999957,660.21875,661.7815
874.125,874.1249999999982,873.70125,874.1299
773.5,773.4999999999973,773.338125,773.8375
880.375,880.375000000005,880.38625,880.21094
440.625,440.6249999999959,440.5825,440.119
742.75,742.7499999999875,742.7852399999999,742.63434
737.25,737.2499999999905,736.97,737.1264
825.125,825.1250000000032,825.014375,824.63403
457.875,457.8749999999991,457.84625,456.60608
990.5,990.4999999999936,990.44875,991.3064
533.125,533.1250000000146,533.0325,533.38855
630.25,630.2499999999977,629.878125,628.7688
752.75,752.7499999999957,752.920625,753.93524
590.25,590.2499999999976,590.23375,589.2241
734.75,734.7499999999973,735.0025,732.74335
852.25,852.2500000000036,851.53875,853.4565
1080.75,1080.7499999999955,1080.743125,1081.2599
371.375,371.37499999999864,372.215,373.76236
591.625,591.6249999999958,591.625,590.0528
817.0,816.9999999999975,816.933125,814.3427
514.375,514.3749999999957,514.5075,514.03546
732.75,732.7500000000134,732.479375,732.3576
908.75,908.7500000000041,908.82225,910.96857
909.875,909.8749999999989,909.656875,909.96906
797.0,797.0000000000127,797.0,797.2994
919.75,919.7500000000098,919.785,920.56006
895.75,895.7499999999977,895.719375,894.404
1212.0,1211.9999999999986,1212.3175,1214.2622
823.25,823.2500000000036,823.459375,822.16187
732.5,732.4999999999982,732.5,732.91345
1225.75,1225.749999999999,1225.5125,1223.7485
670.75,670.7499999999957,670.748125,670.1442
661.125,661.1250000000023,661.126875,662.2773
1218.375,1218.3749999999945,1218.2175,1222.5249
931.75,931.7500000000005,932.011875,931.16034
1068.5,1068.4999999999977,1068.93625,1070.3431
766.0,766.0000000000098,766.11125,766.3181
1355.375,1355.3749999999964,1354.13,1350.1553
675.75,675.7499999999977,675.81875,676.9204
690.75,690.7499999999986,690.63875,689.307
607.875,607.8750000000042,607.960625,607.1692
868.375,868.3749999999995,867.854375,869.3333
849.375,849.3749999999982,849.121875,847.8501
589.625,589.6249999999931,589.481875,589.4099
951.0,951.0000000000036,951.62125,951.85455
1041.375,1041.374999999999,1041.39875,1040.0336
722.75,722.7499999999854,722.66,720.39435
901.5,901.4999999999955,901.5,902.12915
449.375,449.3749999999957,449.374375,449.00137
1374.125,1374.1249999999955,1373.39625,1407.6471
434.125,434.124999999999,434.42875,433.76373
424.0,424.0000000000098,423.918125,421.61417
1073.875,1073.874999999999,1073.875,1073.6382
282.625,282.6249999999991,282.86625,280.58005
691.25,691.249999999995,691.015,691.2571
690.25,690.2499999999986,690.25,689.91925
906.375,906.3750000000036,906.485625,906.5043
569.5,569.5000000000097,569.300625,571.844
877.5,877.5000000000127,877.495,875.98126
1172.625,1172.6249999999955,1172.17,1174.9224
984.5,984.499999999993,984.225,985.52515
601.125,601.1249999999957,601.125,601.6019
500.625,500.6250000000043,500.91375,501.0891
484.75,484.7499999999958,484.518125,482.61334
722.75,722.7500000000125,722.5925,721.88965
861.5,861.4999999999975,861.5,862.9391
522.375,522.3749999999993,522.3825,524.5254
476.375,476.37499999999864,476.14125,476.7853
872.875,872.8750000000132,872.931875,873.6822
600.375,600.3750000000024,600.374375,602.4323
952.875,952.8749999999943,952.880625,954.4863
813.0,812.9999999999977,812.925,812.4803
768.875,768.8749999999877,768.6327749999998,767.5238
567.375,567.3749999999908,567.280625,571.2913
711.75,711.7499999999905,711.38875,711.28644
1180.625,1180.625000000004,1181.6075,1182.6919
552.75,552.7500000000044,552.730625,551.63586
768.5,768.4999999999957,768.74,765.7308
733.625,733.6250000000127,733.625,733.42084
864.375,864.374999999995,864.0,864.2656
1018.5,1018.4999999999977,1018.506875,1019.5191
1115.875,1115.874999999999,1115.898125,1115.1472
595.375,595.375,595.40184,595.3449
732.5,732.5000000000023,732.5,730.8526
1132.625,1132.6249999999998,1133.006275,1133.5728
910.625,910.624999999997,910.615625,909.3998
750.75,750.7499999999957,750.75,750.50287
797.5,797.4999999999991,797.43125,795.99536
827.375,827.3750000000036,827.41625,829.0221
1240.625,1240.624999999999,1240.05,1242.2517
986.5,986.4999999999973,986.604375,987.2066
678.625,678.6249999999957,678.5975,679.60126
629.625,629.6249999999989,629.631875,629.5615
787.875,787.8749999999982,787.425,788.6523
777.0,776.999999999995,777.0,776.2483
563.5,563.4999999999959,563.503125,562.1912
628.0,627.9999999999977,628.0,628.05066
1189.25,1189.2499999999911,1189.861875,1187.6476
880.375,880.3749999999964,880.406875,880.83453
902.125,902.1249999999991,901.9025,901.67303
584.875,584.8750000000044,584.918125,584.11017
970.75,970.7499999999991,970.72625,969.516
613.0,612.9999999999957,612.996875,612.02295
576.125,576.1249999999989,576.088125,576.0925
774.75,774.7499999999859,774.75125,776.1181
1274.125,1274.1249999999955,1274.0125,1274.4272
382.625,382.62499999999727,383.31875,376.9081
1070.5,1070.4999999999995,1070.5075,1068.2588
972.75,972.7500000000002,973.5320299999994,972.3348
746.0,745.9999999999957,745.889375,744.6892
528.0,527.9999999999958,528.0,528.19354
558.125,558.1249999999991,558.00875,557.32214
1145.25,1145.2499999999948,1144.825625,1146.6068
998.375,998.3749999999952,997.969375,994.3481
1164.125,1164.1249999999955,1164.125,1162.576
487.75,487.75000000001273,488.024375,486.65582
482.25,482.2499999999993,482.361875,481.8553
429.125,429.12500000000375,429.044375,429.74585
502.625,502.6249999999957,502.624375,503.47546
720.25,720.2499999999982,720.055625,721.1086
999.125,999.1249999999955,999.125,997.1441
563.5,563.5000000000024,563.5,562.4911
1047.725,1047.724999999995,1045.9011400000006,1049.1139
595.0,595.0000000000039,594.31625,593.20044
890.5,890.5000000000095,890.54375,888.8409
696.5,696.5000000000036,696.065625,694.8307
880.375,880.3749999999984,880.401875,878.1486
1174.375,1174.3750000000123,1173.643125,1170.1792
1355.375,1355.3749999999955,1355.338125,1343.0411
797.0,796.9999999999964,796.99875,797.5831
900.75,900.7500000000041,900.774375,901.4562
499.5,499.4999999999959,499.495625,500.73798
711.375,711.3749999999975,711.375,712.156
1079.5,1079.499999999999,1079.51875,1079.8427
1007.125,1007.1250000000127,1007.125,1005.83435
364.875,364.8750000000024,364.86375,361.00397
893.5,893.5000000000043,893.5075,894.211
1004.5,1004.5000000000095,1004.428125,1004.1181
881.5,881.4999999999989,881.5,880.0963
883.75,883.7499999999957,883.75,882.53564
841.5,841.5000000000023,841.5,842.4597
599.375,599.3749999999957,599.32625,599.1754
164.375,164.37499999999602,164.343125,160.97755
1197.25,1197.2500000000034,1197.234375,1202.1672
991.125,991.1249999999905,991.293125,992.6027
759.25,759.2499999999984,759.21625,759.17377
359.5,359.4999999999984,359.398125,360.70184
602.625,602.6250000000034,602.76125,602.6892
911.75,911.7500000000002,912.88125,909.8885
742.125,742.1249999999943,741.798125,741.3852
758.125,758.1249999999957,758.125,756.6938
747.25,747.249999999995,747.21125,745.5196
943.75,943.7499999999991,943.75,942.1168
1110.75,1110.7500000000123,1110.73125,1110.6688
624.375,624.3749999999958,624.35375,625.146
763.875,763.8749999999905,764.32375,761.9866
680.625,680.6249999999977,680.55375,679.9708
720.5,720.5000000000043,720.505625,718.52136
805.0,805.0000000000098,805.00125,803.05914
861.75,861.7499999999957,861.741875,860.1626
813.625,813.6249999999957,813.3875,812.636
750.75,750.7500000000048,751.091875,750.95844
728.5,728.4999999999957,728.5,729.928
816.25,816.2500000000002,816.709375,818.1305
817.25,817.2499999999973,817.14875,818.426
648.875,648.8749999999957,648.854375,649.53394
742.75,742.7499999999957,742.75,743.1221
729.0,728.9999999999964,728.506875,727.63477
644.875,644.8749999999932,645.320625,643.9965
743.0,742.9999999999977,742.959375,743.5841
719.25,719.2499999999977,719.26125,721.26117
