ESCUELA PROFESIONAL,MINIMO_PREDICHO,PROMEDIO_PREDICHO,MAXIMO_PREDICHO,VACANTES_ESTIMADAS,TOTAL_POSTULANTES,TASA_INGRESO_ESTIMADA
INGENIERIA AMBIENTAL,978.0000000000027,1091.8416666666694,1214.3750000000027,15,156,9.615384615384617
INGENIERIA BIOMEDICA,1169.1249999999932,1266.0666666666598,1436.3749999999932,15,234,6.41025641025641
INGENIERIA CIVIL,1125.8750000000005,1179.5892857142862,1337.1250000000005,28,678,4.129793510324483
INGENIERIA DE MINAS,1076.750000000003,1182.6666666666695,1316.0000000000032,15,275,5.454545454545454
INGENIERIA DE SEGURIDAD Y SALUD EN EL TRABAJO,834.1250000000002,930.5347222222224,1174.8750000000002,18,48,37.5
INGENIERIA DE SISTEMAS,1192.624999999999,1289.109374999999,1649.999999999999,32,1029,3.1098153547133136
INGENIERIA DE SOFTWARE,1185.249999999998,1288.8083333333313,1424.9999999999977,15,340,4.411764705882353
INGENIERIA DE TELECOMUNICACIONES,931.7499999999961,1025.5916666666628,1227.4999999999961,30,154,19.480519480519483
INGENIERIA DEL AGUA Y TECNOLOGIAS DE TRATAMIENTO,815.7500000000095,900.6171875000097,1084.7500000000095,16,112,14.285714285714285
INGENIERIA ELECTRICA,994.4999999999991,1099.931249999999,1345.6249999999986,20,175,11.428571428571429
INGENIERIA ELECTRONICA,973.3749999999955,1070.3111111111066,1335.3749999999955,45,243,18.51851851851852
INGENIERIA GEOGRAFICA,754.125,916.105,1308.0,25,61,40.98360655737705
INGENIERIA GEOLOGICA,960.7499999999982,1036.6190476190457,1311.9999999999982,21,171,12.280701754385964
INGENIERIA INDUSTRIAL,1072.7499999999964,1163.2534246575306,1379.3749999999961,73,922,7.917570498915401
INGENIERIA LOGISTICA Y CADENA DE SUMISTRO DIGITAL,962.5000000000039,1035.980769230773,1396.5000000000034,26,525,4.9523809523809526
INGENIERIA MECANICA DE FLUIDOS,865.4999999999945,1015.5208333333279,1414.7499999999945,30,106,28.30188679245283
INGENIERIA MECATRONICA,1066.749999999995,1153.031249999995,1540.249999999995,20,350,5.714285714285714
INGENIERIA METALURGICA,935.7499999999964,1033.3333333333296,1242.8749999999964,15,79,18.9873417721519
INGENIERIA NUCLEAR,837.5000000000023,998.6309523809547,1206.375000000002,21,142,14.788732394366196
INGENIERIA QUIMICA,981.9999999999941,1072.1378205128146,1379.374999999994,39,232,16.810344827586206
INGENIERIA TEXTIL Y CONFECCIONES,750.7500000000018,892.1875000000018,1172.1250000000018,26,64,40.625
INVESTIGACION OPERATIVA,674.2500000000032,809.0178571428604,1112.1250000000032,49,101,48.51485148514851
"LENGUAS, TRADUCCION E INTERPRETACION",1100.7499999999914,1169.5749999999912,1307.9999999999914,15,198,7.575757575757576
LINGUISTICA,830.1249999999907,959.4921874999906,1187.9999999999905,16,34,47.05882352941176
LITERATURA,959.6249999999914,1041.8235294117562,1234.8749999999914,17,93,18.27956989247312
MARKETING,1008.2499999999957,1101.5520833333287,1221.7499999999955,12,173,6.9364161849710975
MATEMATICA,728.9999999999995,858.2984693877544,1080.749999999999,49,100,49.0
MEDICINA HUMANA,1468.9999999999839,1534.2045454545294,1679.124999999984,55,4610,1.193058568329718
